10001,Jonathan,DelVecchio,2687 La Mesa Blvd,La Mesa,CA,91942,(619) 889-3752,
10002,Mack,Simmer,379 Old Shore Street,Council Bluffs,IA,51501,(291) 553-0508,
10003,Bettyann,Seery,750 Wintergreen Drive,Wasilla,AK,99654,(478) 277-9632,
10004,Duane,Cullison,9662 Foxrun Lane,Harlingen,TX,78552,(308) 494-0198,
10005,Karie,Yang,9378 West Augusta Avenue,West Deptford,NJ,08096,(214) 730-0298,
10006,Aurore,Lipton,762 Wild Rose Street,Saginaw,MI,48601,(377) 507-0974,
10007,Zachery,Luechtefeld,7 Poplar Drive,Arvada,CO,80003,(814) 485-2615,
10008,Jeremiah,Pendergrass,70 Oakwood Street,Zion,IL,60099,(279) 491-0960,
10009,Walter,Holaway,7556 Arrowhead Street,Cumberland,RI,02864,(446) 396-6785,
10010,Wilfred,Vise,77 West Surrey Street,Oswego,NY,13126,(834) 727-1001,
10011,Maritza,Tilton,939 Linda Road,Burke,VA,22015,(446) 351-6860,
10012,Joleen,Tison,87 Queen Street,Drexel Hill,PA,19026,(231) 893-2755,
